Time,LeftTorque,LeftVelocity
59.249933,0.262865,-472.914414
59.250933,0.282717,-467.259547
59.251915,0.306441,-464.641553
59.252933,0.314355,-462.02356
59.253933,0.317807,-457.62533
59.254933,0.310369,-454.797896
59.255915,0.342827,-450.190227
59.256933,0.276977,-446.210877
59.257933,0.258708,-440.032411
59.258933,0.248886,-436.786099
59.259916,0.255695,-432.597308
59.260933,0.273354,-428.932117
59.261933,0.336114,-426.733002
59.262933,0.284605,-422.334772
59.263915,0.270245,-418.355422
59.264933,0.310598,-412.491115
59.265933,0.303962,-408.511765
59.266933,0.287351,-399.086987
59.267915,0.287351,-399.086987
59.268933,0.314279,-394.269878
59.269933,0.32963,-388.824451
59.270933,0.270588,-384.8451
59.271915,0.317292,-381.389348
59.272933,0.273258,-375.210883
59.273933,0.310789,-371.231532
59.274933,0.269463,-364.529468
59.275915,0.285482,-363.796429
59.276933,0.316815,-358.351002
59.277933,0.285177,-354.79053
59.278933,0.280181,-350.70646
59.279915,0.30379,-344.318555
59.280933,0.309053,-343.271357
59.281933,0.286836,-336.883452
59.282933,0.282622,-332.485223
59.283914,0.285463,-329.867229
59.284933,0.286035,-323.479324
59.285933,0.297535,-320.233011
59.286934,0.301883,-318.662215
59.287916,0.299022,-311.017673
59.288933,0.289335,-309.027997
59.289932,0.28142,-306.200564
59.290933,0.258841,-300.755137
59.291915,0.248734,-296.775786
59.292933,0.219061,-292.168117
59.293933,0.199037,-289.969002
59.294933,0.175695,-284.523575
59.295914,0.159618,-284.733014
